episode,score,steps,success,final_distance,n_biases,loss,actor_loss,critic_loss,entropy,approx_kl,clip_frac,lr,eval_score_mean,eval_success_rate,eval_final_distance_mean
1,288.2623480898812,40,0.0,3.5541906250881805,30,9767.871875,-0.022231525182723998,19535.8759765625,4.378907108306885,0.013845711946487427,0.0,0.0003,,,
2,-12.833105446813398,40,0.0,3.4401784375740587,30,35.027150535583495,-0.046507946029305455,70.23488655090333,4.3785271644592285,0.008237630128860474,0.0,0.0003,,,
3,-0.4902812351180774,40,0.0,2.474368951467026,30,32.96139176686605,0.030393045395612717,65.94956398010254,4.378336151440938,0.004139073193073273,0.0,0.0003,,,
4,-16.42656386496187,40,0.0,3.7650500535453597,32,58.478644307454424,-0.010320547471443812,117.06547292073567,4.3772740681966145,-0.005107871691385905,0.004166666666666667,0.0003,,,
5,-10.281856028763517,40,0.0,3.5733127849383757,29,38.354727586110435,-0.014874251869817575,76.82675822575887,4.377707401911418,-0.006115814050038655,0.0,0.0003,,,
6,-17.145729107867997,40,0.0,3.9376627279919054,34,19.655254734887016,-0.045506249751067825,39.489077144198944,4.37774756219652,0.008862834837701585,0.010416666666666666,0.0003,,,
7,0.1724204911326841,40,0.0,2.546686021385472,30,25.12363077799479,-0.023815450817346574,50.38240178426107,4.37545108795166,0.007197415828704834,0.0125,0.0003,,,
8,1.9237574812727978,40,0.0,2.296249452360083,28,29.09238560994466,0.05341340767012702,58.16540209452311,4.372853067186144,0.019908818933698866,0.0,0.0003,,,
9,0.15865830577080287,40,0.0,2.210770094785449,37,22.593143264452618,0.024946972727775574,45.22383530934652,4.372212966283162,0.005378703276316325,0.0,0.0003,,,
10,-12.480844557423183,40,0.0,3.2319414310455046,30,19.87470923529731,-0.010118907731440332,39.857109281751846,4.37264437145657,0.0012739035818311903,0.003472222222222222,0.0003,,,
11,-32.715648602685405,40,0.0,4.93861479997959,31,106.13778093126085,0.04306858446862963,212.27682156032986,4.370060337914361,0.009073466062545776,0.0,0.0003,,,
12,-29.625609802788503,40,0.0,5.117722696505975,32,15.355677763621012,-0.008753800143798193,30.816314114464653,4.372536102930705,0.001420612136522929,0.010416666666666666,0.0003,,,
13,430.247278312268,28,1.0,0.1282214351019845,22,25401.240559895832,-0.00961605180054903,50802.5859375,4.364598631858826,-0.005327673493108402,0.0,0.0003,,,
14,0.43928380191972316,40,0.0,2.2427053876270033,32,38.53418901231554,-0.04264789571364721,77.24100600348578,4.366637998157078,-0.012795900305112204,0.020833333333333332,0.0003,,,
15,-3.691012474063359,40,0.0,2.581327672368632,32,11.29043436050415,-0.026676262263208628,22.721442143122356,4.361047466595967,0.011215242246786753,0.005208333333333333,0.0003,,,
16,0.06668636235131853,40,0.0,2.350405343963187,32,29.33137626647949,-0.04027385363976161,58.83050537109375,4.360227807362874,0.00514657994111379,0.0,0.0003,,,
17,-0.9499518072488096,40,0.0,2.199698005782032,30,33.62442281511095,-0.007493499666452408,67.35080740186903,4.348750856187609,0.006960358884599473,0.0,0.0003,,,
18,-27.847803951101664,40,0.0,5.156021757766236,33,6.259654137823317,-0.04788945780860053,12.702432764901054,4.367282390594482,-0.00021459079451031156,0.006944444444444444,0.0003,,,
19,-13.902416491558284,40,0.0,3.631519487292989,34,21.94659201304118,-0.00372766289446089,43.98765648735894,4.3508632977803545,0.01331746412648095,0.0,0.0003,,,
