time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.414027214050292969e+00,4.202487468719482422e+00
3.999999910593032837e-02,3.419411420822143555e+00,4.328179836273193359e+00
7.999999821186065674e-02,3.383915662765502930e+00,4.306964874267578125e+00
1.199999973177909851e-01,3.343174934387207031e+00,3.994451999664306641e+00
1.599999964237213135e-01,3.303101778030395508e+00,4.153433322906494141e+00
1.999999880790710449e-01,3.470487594604492188e+00,4.169512748718261719e+00
2.399999946355819702e-01,3.376428127288818359e+00,4.303462505340576172e+00
2.800000011920928955e-01,3.375446081161499023e+00,4.426284313201904297e+00
3.199999928474426270e-01,3.482151746749877930e+00,4.269791126251220703e+00
3.599999845027923584e-01,3.336326837539672852e+00,4.423733711242675781e+00
3.999999761581420898e-01,3.450521945953369141e+00,4.430468082427978516e+00
4.399999976158142090e-01,3.388750314712524414e+00,4.229456901550292969e+00
4.799999892711639404e-01,3.385013580322265625e+00,4.291204929351806641e+00
5.199999809265136719e-01,3.395910024642944336e+00,4.480810165405273438e+00
5.600000023841857910e-01,3.311620235443115234e+00,4.532762527465820312e+00
5.999999642372131348e-01,3.346733808517456055e+00,4.288983345031738281e+00
6.399999856948852539e-01,3.423530578613281250e+00,4.375749588012695312e+00
6.800000071525573730e-01,3.381431579589843750e+00,4.485362052917480469e+00
7.199999690055847168e-01,3.271352529525756836e+00,4.444941043853759766e+00
7.599999904632568359e-01,3.444005012512207031e+00,4.243776321411132812e+00
7.999999523162841797e-01,3.350909471511840820e+00,4.197155475616455078e+00
8.399999737739562988e-01,3.369500875473022461e+00,4.435235500335693359e+00
8.799999952316284180e-01,3.405123710632324219e+00,4.441657066345214844e+00
9.199999570846557617e-01,3.413589715957641602e+00,4.444392681121826172e+00
9.599999785423278809e-01,3.298856258392333984e+00,4.408216476440429688e+00
1.000000000000000000e+00,3.416201114654541016e+00,4.296170711517333984e+00
1.039999961853027344e+00,3.285681486129760742e+00,4.356959819793701172e+00
