cv2_distance_A,bias_kcal_per_mol
2.888704679428879096e+00,2.115857296560308964e-01
2.924726943748030994e+00,2.306779768992164859e-01
2.960749208067182892e+00,2.513738606254262709e-01
2.996771472386334789e+00,2.737938061887443264e-01
3.032793736705486687e+00,2.980659292135637295e-01
3.068816001024638584e+00,3.243265417710346488e-01
3.104838265343790482e+00,3.527207582228654714e-01
3.140860529662942380e+00,3.834032368945831659e-01
3.176882793982094277e+00,4.165391044163592738e-01
3.212905058301246175e+00,4.523051224071933385e-01
3.248927322620398073e+00,4.908911712987385489e-01
3.284949586939550414e+00,5.325021434969541279e-01
3.320971851258701868e+00,5.773603575804076016e-01
3.356994115577854210e+00,6.257086264012226007e-01
3.393016379897006107e+00,6.778141340293670769e-01
3.429038644216158005e+00,7.339732982970776920e-01
3.465060908535309903e+00,7.945178156052261631e-01
3.501083172854461800e+00,8.598221004421546798e-01
3.537105437173613698e+00,9.303123409350108064e-01
3.573127701492765596e+00,1.006477390296750762e+00
3.609149965811917493e+00,1.088881698282632371e+00
3.645172230131069391e+00,1.178180452318708049e+00
3.681194494450221288e+00,1.275137040158915047e+00
3.717216758769373186e+00,1.380642860169682518e+00
3.753239023088525084e+00,1.495739387492815764e+00
3.789261287407676981e+00,1.621642251225561715e+00
3.825283551726828879e+00,1.759766887770224164e+00
3.861305816045980777e+00,1.911755109256582985e+00
3.897328080365133118e+00,2.079501666944978844e+00
3.933350344684284572e+00,2.265179604839060890e+00
3.969372609003436914e+00,2.471262899514635958e+00
4.005394873322588367e+00,2.700544583951375976e+00
4.041417137641740709e+00,2.956148275933470071e+00
4.077439401960892162e+00,3.241530799467687185e+00
4.113461666280044504e+00,3.560473428075721980e+00
4.149483930599195958e+00,3.917059221189501006e+00
4.185506194918348299e+00,4.315633998854801590e+00
4.221528459237499753e+00,4.760748733068998817e+00
4.257550723556652095e+00,5.257081549101195073e+00
4.293572987875803548e+00,5.809338142117204562e+00
4.329595252194955890e+00,6.422130227775944888e+00
4.365617516514108232e+00,7.099832651272908635e+00
4.401639780833259685e+00,7.846420953238207652e+00
4.437662045152411139e+00,8.665292491900933314e+00
4.473684309471563481e+00,9.559075591156803497e+00
4.509706573790715822e+00,1.052943255025238756e+01
4.545728838109867276e+00,1.157686362666149194e+01
4.581751102429018729e+00,1.270052019499249596e+01
4.617773366748171071e+00,1.389803609452278899e+01
4.653795631067323413e+00,1.516538661371721197e+01
4.689817895386474866e+00,1.649678454140509132e+01
4.725840159705627208e+00,1.788462218051834185e+01
4.761862424024778662e+00,1.931946713778052782e+01
4.797884688343931003e+00,2.079011807077506546e+01
4.833906952663082457e+00,2.228372442863250313e+01
4.869929216982234799e+00,2.378597163881841325e+01
4.905951481301386252e+00,2.528133028178431019e+01
4.941973745620538594e+00,2.675336470160654301e+01
4.977996009939690936e+00,2.818509339304683081e+01
5.014018274258842389e+00,2.955939056724438529e+01
5.050040538577993843e+00,3.085941571545871653e+01
5.086062802897146184e+00,3.206905593810613908e+01
5.122085067216298526e+00,3.317336443586715689e+01
5.158107331535449980e+00,3.415897798572249400e+01
5.194129595854601433e+00,3.501449651598574064e+01
5.230151860173753775e+00,3.573080906621744646e+01
5.266174124492906117e+00,3.630135242968493969e+01
5.302196388812057570e+00,3.672229153222559717e+01
5.338218653131209024e+00,3.699261395698074750e+01
5.374240917450361366e+00,3.711413479438824226e+01
5.410263181769513707e+00,3.709141196834779208e+01
