time_ps,cv1_distance_A
0.000000000000000000e+00,3.310951948165893555e+00
3.999999910593032837e-02,3.308034658432006836e+00
7.999999821186065674e-02,3.247589111328125000e+00
1.199999973177909851e-01,3.327773571014404297e+00
1.599999964237213135e-01,3.263059377670288086e+00
1.999999880790710449e-01,3.290656805038452148e+00
2.399999946355819702e-01,3.290167808532714844e+00
2.800000011920928955e-01,3.316025733947753906e+00
3.199999928474426270e-01,3.304328680038452148e+00
3.599999845027923584e-01,3.323230028152465820e+00
3.999999761581420898e-01,3.263406515121459961e+00
4.399999976158142090e-01,3.345075368881225586e+00
4.799999892711639404e-01,3.249557018280029297e+00
5.199999809265136719e-01,3.243068933486938477e+00
5.600000023841857910e-01,3.423923969268798828e+00
5.999999642372131348e-01,3.325853109359741211e+00
6.399999856948852539e-01,3.301190614700317383e+00
6.800000071525573730e-01,3.236833810806274414e+00
7.199999690055847168e-01,3.138114690780639648e+00
7.599999904632568359e-01,3.169305086135864258e+00
7.999999523162841797e-01,3.204896688461303711e+00
8.399999737739562988e-01,3.306654691696166992e+00
8.799999952316284180e-01,3.264764785766601562e+00
9.199999570846557617e-01,3.346701860427856445e+00
9.599999785423278809e-01,3.258208274841308594e+00
1.000000000000000000e+00,3.276917457580566406e+00
1.039999961853027344e+00,3.203140974044799805e+00
1.079999923706054688e+00,3.262866735458374023e+00
1.120000004768371582e+00,3.299497127532958984e+00
1.159999966621398926e+00,3.233848094940185547e+00
1.199999928474426270e+00,3.297967910766601562e+00
1.240000009536743164e+00,3.226779222488403320e+00
1.279999971389770508e+00,3.348094701766967773e+00
1.319999933242797852e+00,3.281045198440551758e+00
1.360000014305114746e+00,3.336797475814819336e+00
1.399999976158142090e+00,3.283469438552856445e+00
1.439999938011169434e+00,3.322619915008544922e+00
1.480000019073486328e+00,3.316598415374755859e+00
1.519999980926513672e+00,3.283696889877319336e+00
1.559999942779541016e+00,3.365612268447875977e+00
1.599999904632568359e+00,3.313765048980712891e+00
1.639999985694885254e+00,3.257016897201538086e+00
